,SMILES,BDE
57-1-rhi-cf3.log,CN1N=CN2CN3C=NN(C)[C]3[Rh@SP2](C(F)(F)F)[C]21,73.5
57-2-rhi-cf3.log,CCN1N=CN2CN3C=NN(CC)[C]3[Rh@SP3](C(F)(F)F)[C]21,73.4
52-4-rhi-cf3.log,COC1=CO[C]2c3ccccc3[C]3OC=C(OC)N3[Rh@SP2](C(F)(F)F)N21,73.2
58-2-rhi-cf3.log,CCN1[C]2N(CN3[C](N(CC)c4ccccc43)[Rh@SP1]2C(F)(F)F)c2ccccc21,73.2
59-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[C]2N(C=CN2c2ccccc2)CCN2C=CN(c3ccccc3)[C]21,73
58-1-rhi-cf3.log,CN1[C]2N(CN3[C](N(C)c4ccccc43)[Rh@SP3]2C(F)(F)F)c2ccccc21,72.9
44-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1N2CCO[C]2Cc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,72.8
44-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]1N2CCO[C]2Cc2ccccc2[P]1(n1cccc1)n1cccc1,72.6
47-5-rhi-cf3.log,FC(F)(F)[Rh@SP1]12N3[CH]C=C(c4ccccc4)C=C3C3=CC(c4ccccc4)=CC(=C4C=C(c5ccccc5)C=CN41)N32,72.6
52-3-rhi-cf3.log,FC1=CO[C](c2ccccc2-c2nc(F)co2)N1[Rh]C(F)(F)F,72.4
58-5-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[C]2N(Cc3ccccc3)c3ccccc3N2CN2[C]1N(Cc1ccccc1)c1ccccc12,72.1
19-2-rhi-cf3.log,C[P]1(C)C[C@H]2CCCC[C@@H]2C[P](C)(C)[Rh@SP3]1C(F)(F)F,72
29-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P]1(C1CCCCC1)C1CCCCC1)CCCC3,72
10-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2c[nH]cc2[P]1(C1CCCCC1)C1CCCCC1,71.8
4-2-rhi-cf3.log,C[C@H]1[C@H](C)[P](C)(C)[Rh@SP3](C(F)(F)F)[P]1(C)C,71.7
44-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2C[C]2OCCN2[Rh@SP1]1C(F)(F)F,71.7
60-3-rhi-cf3.log,CC(C)(C)N1C=CN2[C]1[Rh@SP2](C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1ccccc12,71.7
14-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)C[C@H]2C[C@H](CN2)[P]1(C1CCCCC1)C1CCCCC1,71.6
38-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(C1CCCCC1)C1CCCCC1,71.6
8-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)C2=CCC=C2[P]1(C1CCCCC1)C1CCCCC1,71.6
40-2-rhi-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P](C)(C)[Rh@SP2](C(F)(F)F)[P](C)(C)c3ccccc3[C@H]12,71.5
6-2-rhi-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Rh@SP2](C(F)(F)F)[P]1(C)C,71.5
34-2-rhi-cf3.log,C[P]1(C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C)(C)[Rh@SP1]1C(F)(F)F,71.2
5-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)CCC[P]1(C1CCCCC1)C1CCCCC1,71.1
10-2-rhi-cf3.log,C[P]1(C)c2c[nH]cc2[P](C)(C)[Rh@SP3]1C(F)(F)F,71
17-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)Cc2ccccc2C[P]1(C1CCCCC1)C1CCCCC1,71
20-2-rhi-cf3.log,C[P]1(C)[C@@H]2COCC[C@@H]2[P](C)(C)[Rh@SP1]1C(F)(F)F,71
3-2-rhi-cf3.log,C[P]1(C)CC[P](C)(C)[Rh@SP1]1C(F)(F)F,71
31-2-rhi-cf3.log,C[P]1(C)[C@@H]2CCCC23CCC[C@H]3[P](C)(C)[Rh@SP3]1C(F)(F)F,71
5-2-rhi-cf3.log,C[P]1(C)CCC[P](C)(C)[Rh@SP3]1C(F)(F)F,71
7-2-rhi-cf3.log,CN1CC(C)(C)O[P](C)(C)[Rh@SP2](C(F)(F)F)[P]1(C)C,71
15-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,70.8
2-4-rhi-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Rh@SP2](C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,70.8
31-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCCC23CCC[C@H]3[P]1(C1CCCCC1)C1CCCCC1,70.8
33-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2C2(CC3)CCc3cccc(c32)[P]1(C1CCCCC1)C1CCCCC1,70.8
6-4-rhi-cf3.log,C[C@H]1C[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Rh@SP2](C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,70.8
12-4-rhi-cf3.log,CC1(C)OC2=C(O1)[P](C1CCCCC1)(C1CCCCC1)[Rh@SP2](C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,70.7
13-2-rhi-cf3.log,C[P]1(C)[C@H]2CNC[C@@H]2[P](C)(C)[Rh@SP1]1C(F)(F)F,70.7
14-2-rhi-cf3.log,C[P]1(C)C[C@H]2C[C@H](CN2)[P](C)(C)[Rh@SP3]1C(F)(F)F,70.7
18-2-rhi-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Rh@SP1]1C(F)(F)F,70.7
23-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2Oc2c(cccc2[P]1(C1CCCCC1)C1CCCCC1)C3,70.6
50-2-rhi-cf3.log,CC1(C)[C]2OC=C(C(F)(F)F)N2[Rh@SP3](C(F)(F)F)N2[C]1OC=C2C(F)(F)F,70.6
53-3-rhi-cf3.log,FC(F)(F)[Rh].Fc1coc(-c2ccccc2)n1,70.6
16-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,70.5
8-2-rhi-cf3.log,C[P]1(C)C2=CCC=C2[P](C)(C)[Rh@SP1]1C(F)(F)F,70.4
27-2-rhi-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C)(C)[Rh@SP1]1C(F)(F)F)OCCO3,70.3
