,SMILES,BDE
9-2-coii-cf3.log,C[P]1(C)c2cscc2[P](C)(C)[Co@SP3]1(C(F)(F)F)C(F)(F)F,68.3
10-1-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2c[nH]cc2[P]1(c1ccccc1)c1ccccc1,68.2
4-2-coii-cf3.log,C[C@H]1[C@H](C)[P](C)(C)[Co@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C)C,68.2
41-1-coii-cf3.log,FC(F)(F)[Co@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(c1ccccc1)c1ccccc1)c32)C(F)(F)F,68.2
1-2-coii-cf3.log,C[P]1(C)C[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,68
34-2-coii-cf3.log,C[P]1(C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,68
39-2-coii-cf3.log,C[P]1(C)c2cc3ccc2CCc2ccc(c(c2)[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F)CC3,68
64-3-coii-cf3.log,CC(C)(C)N1CCN(C(C)(C)C)[C]1[Co@SP2](C(F)(F)F)C(F)(F)F,68
15-2-coii-cf3.log,C[P]1(C)c2ccccc2[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,67.7
3-1-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1,67.7
16-2-coii-cf3.log,C[P]1(C)c2cccnc2[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,67.5
48-2-coii-cf3.log,FC(F)(F)C1=c2ccc3c4c2N(C=C1)[Co@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C(F)(F)F,67.4
11-2-coii-cf3.log,C[P]1(C)C2=C(C(=O)N(c3ccccc3)C2=O)[P](C)(C)[Co@SP3]1(C(F)(F)F)C(F)(F)F,67.3
12-1-coii-cf3.log,CC1(C)OC2=C(O1)[P](c1ccccc1)(c1ccccc1)[Co@SP2](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,67.3
27-2-coii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C)(C)[Co@SP3]1(C(F)(F)F)C(F)(F)F)OCCO3,67.3
6-2-coii-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Co@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,67.3
60-2-coii-cf3.log,CCN1C=CN2[C]1[Co@SP2](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1ccccc12,67.3
2-4-coii-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Co@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,67.2
51-5-coii-cf3.log,FC(F)(F)[Co@SP1]1(C(F)(F)F)N2[C](OC=C2c2ccccc2)c2cccc3cc4cccc(c4cc23)[C]2OC=C(c3ccccc3)N21,67.1
8-1-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C2=CCC=C2[P]1(c1ccccc1)c1ccccc1,67.1
20-2-coii-cf3.log,C[P]1(C)[C@@H]2COCC[C@@H]2[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,66.9
43-5-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(n1cccc1)n1cccc1,66.8
9-1-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cscc2[P]1(c1ccccc1)c1ccccc1,66.8
10-4-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2c[nH]cc2[P]1(C1CCCCC1)C1CCCCC1,66.7
3-4-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)CC[P]1(C1CCCCC1)C1CCCCC1,66.7
56-2-coii-cf3.log,CCN1C=CN2CN3C=CN(CC)C3=[Co@SP2](C(F)(F)F)(C(F)(F)F)[C]12,66.6
21-4-coii-cf3.log,FC(F)(F)[Co]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2ccccc2Oc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,66.5
55-5-coii-cf3.log,FC(F)(F)[Co@SP3]1(C(F)(F)F)N(c2ccc(-c3ccccc3)cc2)[C]2CCCC[C]2N1c1ccc(-c2ccccc2)cc1,66.5
29-2-coii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C)(C)[Co@SP3]1(C(F)(F)F)C(F)(F)F)CCCC3,66.4
46-2-coii-cf3.log,FC(F)(F)C1=CC2=C3C=C(C(F)(F)F)C=CN3[Co@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,66.3
15-4-coii-cf3.log,FC(F)(F)[Co@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,66.2
