,SMILES,BDE
26-3-agi-cf3.log,CC(C)(C)P(c1cccc2c1-c1c(cccc1[P]([Ag]C(F)(F)F)(C(C)(C)C)C(C)(C)C)OCO2)C(C)(C)C,70.1
32-2-agi-cf3.log,CP(C)O[C@@H]1CCC[C@@]12CCC[C@H]2O[P](C)(C)[Ag]C(F)(F)F,70.1
42-2-agi-cf3.log,C[P](C)(Cc1cccc2c1[C@@]1(CCc3cccc(N)c31)CC2)[Ag]C(F)(F)F,70
18-2-agi-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Ag@SP1]1C(F)(F)F,69.9
37-2-agi-cf3.log,C[C@H]1c2ccccc2[P@@]2(C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C)[Ag@SP3]2C(F)(F)F,69.9
8-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)C2=CCC=C2[P]1(C1CCCCC1)C1CCCCC1,69.8
12-4-agi-cf3.log,CC1(C)OC2=C(O1)[P](C1CCCCC1)(C1CCCCC1)[Ag@SP2](C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,69.7
3-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)CC[P]1(C1CCCCC1)C1CCCCC1,69.7
34-1-agi-cf3.log,FC(F)(F)[Ag]1[P](c2ccccc2)(c2ccccc2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(c1ccccc1)c1ccccc1,69.7
40-4-agi-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P](C3CCCCC3)(C3CCCCC3)[Ag](C(F)(F)F)[P](C3CCCCC3)(C3CCCCC3)c3ccccc3[C@H]12,69.7
6-2-agi-cf3.log,C[C@@H](C[C@H](C)[P](C)(C)[Ag]C(F)(F)F)P(C)C,69.7
3-2-agi-cf3.log,CP(C)CC[P](C)(C)[Ag]C(F)(F)F,69.6
23-4-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2Oc2c(cccc2[P]1(C1CCCCC1)C1CCCCC1)C3,69.5
29-2-agi-cf3.log,CP(C)c1ccc2c(c1-c1c([P](C)(C)[Ag]C(F)(F)F)ccc3c1CCCC3)CCCC2,69.5
29-4-agi-cf3.log,FC(F)(F)[Ag@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P]1(C1CCCCC1)C1CCCCC1)CCCC3,69.5
