,SMILES,BDE
21-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2Oc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,81.2
21-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccccc2Oc2ccccc2[P]1(n1cccc1)n1cccc1,77.1
22-1-cui-cf3.log,FC(F)(F)[Cu][P](c1ccccc1)(c1ccccc1)c1cccc2c1oc1c(P(c3ccccc3)c3ccccc3)cccc12,74.5
22-2-cui-cf3.log,C[P]1(C)c2cccc3c2oc2c(cccc23)[P](C)(C)[Cu]1C(F)(F)F,66.9
22-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2oc2c(cccc23)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,65.6
22-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2oc2c(cccc23)[P]1(C1CCCCC1)C1CCCCC1,66.1
22-5-cui-cf3.log,FC(F)(F)[Cu][C@@H]1[CH]C=CN1P(c1cccc2c1oc1c(P(n3cccc3)n3cccc3)cccc12)n1cccc1,69.8
2-2-cui-cf3.log,CP(C)C(C)(C)[P](C)(C)[Cu]C(F)(F)F,81.8
23-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2cccc3c2Oc2c(cccc2[P]1(c1ccccc1)c1ccccc1)C3,72.5
23-2-cui-cf3.log,C[P]1(C)c2cccc3c2Oc2c(cccc2[P](C)(C)[Cu]1C(F)(F)F)C3,78.5
23-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2Oc2c(cccc2[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F)C3,62.5
23-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2Oc2c(cccc2[P]1(C1CCCCC1)C1CCCCC1)C3,78.1
23-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2cccc3c2Oc2c(cccc2[P]1(n1cccc1)n1cccc1)C3,77
2-3-cui-cf3.log,CC(C)(C)P(C(C)(C)C)C(C)(C)[P]([Cu]C(F)(F)F)(C(C)(C)C)C(C)(C)C,82.6
24-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2ccccc2-c2ccccc2[P]1(c1ccccc1)c1ccccc1,80.3
24-2-cui-cf3.log,C[P]1(C)c2ccccc2-c2ccccc2[P](C)(C)[Cu@SP3]1C(F)(F)F,78.9
24-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2-c2ccccc2[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,71.9
24-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2-c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,80
24-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccccc2-c2ccccc2[P]1(n1cccc1)n1cccc1,77.5
25-1-cui-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](c1ccccc1)(c1ccccc1)[Cu](C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,79.1
25-2-cui-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C)(C)[Cu@SP2](C(F)(F)F)[P]2(C)C,78.9
25-3-cui-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C(C)(C)C)(C(C)(C)C)[Cu](C(F)(F)F)[P]2(C(C)(C)C)C(C)(C)C,76.5
25-4-cui-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C1CCCCC1)(C1CCCCC1)[Cu](C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,79
25-5-cui-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](n1cccc1)(n1cccc1)[Cu](C(F)(F)F)[P]2(n1cccc1)n1cccc1,77.9
2-5-cui-cf3.log,CC(C)(P(n1cccc1)n1cccc1)[P]([Cu]C(F)(F)F)(n1cccc1)n1cccc1,79.7
26-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2cccc3c2-c2c(cccc2[P]1(c1ccccc1)c1ccccc1)OCO3,80.5
26-2-cui-cf3.log,C[P]1(C)c2cccc3c2-c2c(cccc2[P](C)(C)[Cu@SP3]1C(F)(F)F)OCO3,78.8
26-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2-c2c(cccc2[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F)OCO3,71.8
26-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2-c2c(cccc2[P]1(C1CCCCC1)C1CCCCC1)OCO3,79.9
26-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2cccc3c2-c2c(cccc2[P]1(n1cccc1)n1cccc1)OCO3,78.4
27-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(c1ccccc1)c1ccccc1)OCCO3,81.1
27-2-cui-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C)(C)[Cu@SP1]1C(F)(F)F)OCCO3,80.4
27-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F)OCCO3,77.8
27-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(C1CCCCC1)C1CCCCC1)OCCO3,83.1
27-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(n1cccc1)n1cccc1)OCCO3,78.1
28-2-cui-cf3.log,C[P]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P](C)(C)[Cu@SP3]1C(F)(F)F,76.3
28-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,68.7
28-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P]1(C1CCCCC1)C1CCCCC1,77.1
28-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P]1(n1cccc1)n1cccc1,77.3
29-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P]1(c1ccccc1)c1ccccc1)CCCC3,79.3
29-2-cui-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C)(C)[Cu@SP1]1C(F)(F)F)CCCC3,79.5
29-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F)CCCC3,78.7
29-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P]1(C1CCCCC1)C1CCCCC1)CCCC3,81.5
29-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P]1(n1cccc1)n1cccc1)CCCC3,77.7
30-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P]1(c1ccccc1)c1ccccc1,81.9
30-2-cui-cf3.log,C[P]1(C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C)(C)[Cu]1C(F)(F)F,81
30-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,60.5
30-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P]1(C1CCCCC1)C1CCCCC1,80.5
30-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P]1(n1cccc1)n1cccc1,75
31-2-cui-cf3.log,C[P]1(C)[C@@H]2CCCC23CCC[C@H]3[P](C)(C)[Cu@SP3]1C(F)(F)F,83.1
31-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2CCCC23CCC[C@H]3[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,84.4
31-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCCC23CCC[C@H]3[P]1(C1CCCCC1)C1CCCCC1,84.8
31-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)[C@@H]2CCCC23CCC[C@H]3[P]1(n1cccc1)n1cccc1,78.3
32-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(c1ccccc1)c1ccccc1,78.3
32-2-cui-cf3.log,C[P]1(C)O[C@@H]2CCCC23CCC[C@H]3O[P](C)(C)[Cu]1C(F)(F)F,81.7
32-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)O[C@@H]2CCCC23CCC[C@H]3O[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,81.1
32-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(C1CCCCC1)C1CCCCC1,82.3
32-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(n1cccc1)n1cccc1,80.1
33-2-cui-cf3.log,C[P]1(C)c2cccc3c2C2(CC3)CCc3cccc(c32)[P](C)(C)[Cu]1C(F)(F)F,78.5
33-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2C2(CC3)CCc3cccc(c32)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,68.7
33-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2C2(CC3)CCc3cccc(c32)[P]1(C1CCCCC1)C1CCCCC1,79.5
33-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2cccc3c2C2(CC3)CCc3cccc(c32)[P]1(n1cccc1)n1cccc1,76.3
34-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(c1ccccc1)c1ccccc1,83
34-2-cui-cf3.log,C[P]1(C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C)(C)[Cu@SP1]1C(F)(F)F,81.7
34-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,84.7
34-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(C1CCCCC1)C1CCCCC1,84.6
35-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P]1(c1ccccc1)c1ccccc1,78.7
35-2-cui-cf3.log,C[P]1(C)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P](C)(C)[Cu]1C(F)(F)F,79
35-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,74.6
35-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P]1(C1CCCCC1)C1CCCCC1,80.3
