,SMILES,BDE
52-1-niii-cf3.log,CC1=COC2=c3ccccc3=C3OC=C(C)N3[Ni@SP1](C(F)(F)F)(C(F)(F)F)N12,56.4
48-1-niii-cf3.log,CC1=c2ccc3c4c2N(C=C1)[Ni@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C,56.3
48-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=c3ccc4c(c32)N1C=CC=4c1ccccc1,56.2
37-2-niii-cf3.log,C[C@H]1c2ccccc2[P@@]2(C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C)[Ni@TB16]2(C(F)(F)F)C(F)(F)F,56
7-2-niii-cf3.log,CN1CC(C)(C)O[P](C)(C)[Ni@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C)C,55.9
27-2-niii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F)OCCO3,55.8
46-5-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)N2C=CC(c3ccccc3)=CC2=C2C=C(c3ccccc3)C=CN21,55.8
48-3-niii-cf3.log,FC1=c2ccc3c4c2N(C=C1)[Ni@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3F,55.8
57-4-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)=C2N(C=NN2c2ccccc2)CN2C=NN(c3ccccc3)[C]21,55.8
29-2-niii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F)CCCC3,55.7
51-4-niii-cf3.log,COC1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(OC)N3[Ni@SP3](C(F)(F)F)(C(F)(F)F)N21,55.7
26-2-niii-cf3.log,C[P]1(C)c2cccc3c2-c2c(cccc2[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F)OCO3,55.6
