,SMILES,BDE
1-2-pdii-cf3.log,C[P]1(C)C[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,62.4
2-1-pdii-cf3.log,CC1(C)[P](c2ccccc2)(c2ccccc2)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,62.3
2-4-pdii-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,62.3
43-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(C1CCCCC1)C1CCCCC1,62.3
55-2-pdii-cf3.log,FC(F)(F)c1ccc(N2C3=C(CCCC3)N(c3ccc(C(F)(F)F)cc3)[Pd@SP1]2(C(F)(F)F)C(F)(F)F)cc1,62.3
63-2-pdii-cf3.log,CCN1C=CN2[C]1[Pd@SP1](C(F)(F)F)(C(F)(F)F)[C]1N(CC)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,62.3
1-3-pdii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[P](C(C)(C)C)(C(C)(C)C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,62.2
41-1-pdii-cf3.log,FC(F)(F)[Pd@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(c1ccccc1)c1ccccc1)c32)C(F)(F)F,62.2
7-2-pdii-cf3.log,CN1CC(C)(C)O[P](C)(C)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C)C,62.2
41-4-pdii-cf3.log,FC(F)(F)[Pd@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(C1CCCCC1)C1CCCCC1)c32)C(F)(F)F,62.1
43-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(c1ccccc1)c1ccccc1,62.1
26-2-pdii-cf3.log,C[P]1(C)c2cccc3c2-c2c(cccc2[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F)OCO3,62
28-2-pdii-cf3.log,C[P]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,62
38-2-pdii-cf3.log,C[P]1(C)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,62
15-4-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,61.9
24-2-pdii-cf3.log,C[P]1(C)c2ccccc2-c2ccccc2[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,61.9
20-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@@H]2COCC[C@@H]2[P]1(c1ccccc1)c1ccccc1,61.8
49-4-pdii-cf3.log,COC1=COC2=C3OC=C(OC)N3[Pd@SP2](C(F)(F)F)(C(F)(F)F)N12,61.7
55-4-pdii-cf3.log,COc1ccc(N2C3=C(CCCC3)N(c3ccc(OC)cc3)[Pd@SP3]2(C(F)(F)F)C(F)(F)F)cc1,61.7
25-2-pdii-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C)(C)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,61.6
31-2-pdii-cf3.log,C[P]1(C)[C@@H]2CCCC23CCC[C@H]3[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,61.6
16-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,61.5
4-4-pdii-cf3.log,C[C@H]1[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,61.5
12-1-pdii-cf3.log,CC1(C)OC2=C(O1)[P](c1ccccc1)(c1ccccc1)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,61.4
1-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[P]1(c1ccccc1)c1ccccc1,61.3
33-2-pdii-cf3.log,C[P]1(C)c2cccc3c2C2(CC3)CCc3cccc(c32)[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,61.2
11-1-pdii-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](c1ccccc1)(c1ccccc1)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,60.8
34-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(C1CCCCC1)C1CCCCC1,60.8
39-2-pdii-cf3.log,C[P]1(C)c2cc3ccc2CCc2ccc(c(c2)[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F)CC3,60.7
8-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C2=CCC=C2[P]1(c1ccccc1)c1ccccc1,60.6
10-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2c[nH]cc2[P]1(c1ccccc1)c1ccccc1,60.5
15-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2ccccc2[P]1(c1ccccc1)c1ccccc1,60.5
44-2-pdii-cf3.log,C[P]1(C)c2ccccc2C[C]2OCCN2[Pd@SP1]1(C(F)(F)F)C(F)(F)F,60.5
14-2-pdii-cf3.log,C[P]1(C)C[C@H]2C[C@H](CN2)[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,60.4
2-3-pdii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C(C)(C)[P](C(C)(C)C)(C(C)(C)C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F,60.3
49-3-pdii-cf3.log,FC1=COC2=C3OC=C(F)N3[Pd@SP2](C(F)(F)F)(C(F)(F)F)N12,60.3
52-2-pdii-cf3.log,FC(F)(F)C1=COC2=c3ccccc3=C3OC=C(C(F)(F)F)N3[Pd@SP1](C(F)(F)F)(C(F)(F)F)N12,60.3
9-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cscc2[P]1(c1ccccc1)c1ccccc1,60.3
42-1-pdii-cf3.log,FC(F)(F)[Pd@SP1]1(<-Nc2cccc3c2[C@@]2(CCc4cccc(C[P]1(c1ccccc1)c1ccccc1)c42)CC3)C(F)(F)F,60.2
12-4-pdii-cf3.log,CC1(C)OC2=C(O1)[P](C1CCCCC1)(C1CCCCC1)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,60.1
41-5-pdii-cf3.log,FC(F)(F)[Pd@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(n1cccc1)n1cccc1)c32)C(F)(F)F,59.7
37-2-pdii-cf3.log,C[C@H]1c2ccccc2[P@@]2(C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C)[Pd@TB16]2(C(F)(F)F)C(F)(F)F,59.6
17-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)Cc2ccccc2C[P]1(n1cccc1)n1cccc1,59.5
3-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)CC[P]1(n1cccc1)n1cccc1,59.5
32-2-pdii-cf3.log,C[P]1(C)O[C@@H]2CCCC23CCC[C@H]3O[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,59.5
5-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)CCC[P]1(n1cccc1)n1cccc1,59.5
13-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@H]2CNC[C@@H]2[P]1(c1ccccc1)c1ccccc1,59.4
4-5-pdii-cf3.log,C[C@H]1[C@H](C)[P](n2cccc2)(n2cccc2)[Pd@SP2](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,59.4
50-2-pdii-cf3.log,CC1(C)[C]2OC=C(C(F)(F)F)N2[Pd@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2C(F)(F)F,59.2
20-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)[C@@H]2COCC[C@@H]2[P]1(n1cccc1)n1cccc1,59.1
2-5-pdii-cf3.log,CC1(C)[P](n2cccc2)(n2cccc2)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,59
44-1-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(c1ccccc1)c1ccccc1,59
16-5-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)c2cccnc2[P]1(n1cccc1)n1cccc1,58.7
17-4-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)Cc2ccccc2C[P]1(C1CCCCC1)C1CCCCC1,58.7
38-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(c1ccccc1)c1ccccc1,58.7
5-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)CCC[P]1(C1CCCCC1)C1CCCCC1,58.6
31-1-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@@H]2CCCC23CCC[C@H]3[P]1(c1ccccc1)c1ccccc1,58.5
19-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[C@H]2CCCC[C@@H]2C[P]1(c1ccccc1)c1ccccc1,58.4
6-4-pdii-cf3.log,C[C@H]1C[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,58.4
23-2-pdii-cf3.log,C[P]1(C)c2cccc3c2Oc2c(cccc2[P](C)(C)[Pd@SP1]1(C(F)(F)F)C(F)(F)F)C3,58.3
9-5-pdii-cf3.log,FC(F)(F)[Pd@SP3]1(C(F)(F)F)[P](n2cccc2)(n2cccc2)c2cscc2[P]1(n1cccc1)n1cccc1,58.3
37-4-pdii-cf3.log,C[C@H]1c2ccccc2[P@@]2(C3CCCCC3)N1CCN1[C@@H](C)c3ccccc3[P@]1(C1CCCCC1)[Pd@TB16]2(C(F)(F)F)C(F)(F)F,58.2
6-5-pdii-cf3.log,C[C@H]1C[C@H](C)[P](n2cccc2)(n2cccc2)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,58.1
44-3-pdii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2C[C]2OCCN2[Pd@SP1]1(C(F)(F)F)C(F)(F)F,58
27-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(c1ccccc1)c1ccccc1)OCCO3,57.9
11-5-pdii-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](n1cccc1)(n1cccc1)[Pd@SP1](C(F)(F)F)(C(F)(F)F)[P]2(n1cccc1)n1cccc1,57.8
30-2-pdii-cf3.log,C[P]1(C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C)(C)[Pd@SP3]1(C(F)(F)F)C(F)(F)F,57.7
49-2-pdii-cf3.log,FC(F)(F)C1=COC2=C3OC=C(C(F)(F)F)N3[Pd@SP2](C(F)(F)F)(C(F)(F)F)N12,57.7
26-1-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cccc3c2-c2c(cccc2[P]1(c1ccccc1)c1ccccc1)OCO3,57.6
31-4-pdii-cf3.log,FC(F)(F)[Pd@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCCC23CCC[C@H]3[P]1(C1CCCCC1)C1CCCCC1,57.6
