,SMILES,BDE
24-4-feii-cf3.log,FC(F)(F)[Fe@OH28]12(C(F)(F)F)[C@@]3([CH]C=CC=C3c3ccccc3[P]1(C1CCCCC1)C1CCCCC1)[P]2(C1CCCCC1)C1CCCCC1,35.3
30-2-feii-cf3.log,C[P]1(C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F,35.3
12-3-feii-cf3.log,CC1(C)OC(P(C(C)(C)C)C(C)(C)C)=C(P(C(C)(C)C)C(C)(C)C)O1.FC(F)(F)[Fe]C(F)(F)F,35.2
26-2-feii-cf3.log,C[P]1(C)c2cccc3c2-c2c(cccc2[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F)OCO3,35
23-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1cc2c(c(P(n3cccc3)n3cccc3)c1)Oc1c(cccc1P(n1cccc1)n1cccc1)C2,34.7
63-4-feii-cf3.log,FC(F)(F)[Fe@SP3]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(c3ccccc3)[C]21,34.7
10-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P(c2c[nH]cc2P(n2cccc2)n2cccc2)n2cccc2)c1,34.6
6-1-feii-cf3.log,C[C@H]1C[C@H](C)[P](c2ccccc2)(c2ccccc2)[Fe@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,34.5
57-2-feii-cf3.log,CCN1N=CN2CN3C=NN(CC)C3=[Fe@SP2](C(F)(F)F)(C(F)(F)F)[C]21,34.4
18-2-feii-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F,34.3
56-2-feii-cf3.log,CCN1C=CN2CN3C=CN(CC)C3=[Fe@SP2](C(F)(F)F)(C(F)(F)F)[C]12,34.2
19-4-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C[C@H]2CCCC[C@@H]2C[P]1(C1CCCCC1)C1CCCCC1,34.1
2-5-feii-cf3.log,CC(C)(P(n1cccc1)n1cccc1)P(n1cccc1)n1cccc1.FC(F)(F)[Fe]C(F)(F)F,34
19-1-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[C@H]2CCCC[C@@H]2C[P]1(c1ccccc1)c1ccccc1,33.9
1-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P(CP(n2cccc2)n2cccc2)n2cccc2)c1,33.8
38-4-feii-cf3.log,FC(F)(F)[Fe]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(C1CCCCC1)C1CCCCC1,33.7
13-3-feii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@H]2CNC[C@@H]2[P](C(C)(C)C)(C(C)(C)C)[Fe@SP1]1(C(F)(F)F)C(F)(F)F,33.6
9-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P(c2cscc2P(n2cccc2)n2cccc2)n2cccc2)c1,33.6
10-3-feii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2c[nH]cc2[P](C(C)(C)C)(C(C)(C)C)[Fe@SP1]1(C(F)(F)F)C(F)(F)F,33.5
57-5-feii-cf3.log,FC(F)(F)[Fe@TB4]1(C(F)(F)F)[C]2N(C=NN2Cc2ccccc2)CN2C=NN(Cc3ccccc3)[C]21,33.1
11-4-feii-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](C1CCCCC1)(C1CCCCC1)[Fe@SP1](C(F)(F)F)(C(F)(F)F)[P]2(C1CCCCC1)C1CCCCC1,32.9
8-5-feii-cf3.log,C1=C(P(n2cccc2)n2cccc2)C(P(n2cccc2)n2cccc2)=CC1.FC(F)(F)[Fe]C(F)(F)F,32.9
12-5-feii-cf3.log,CC1(C)OC(P(n2cccc2)n2cccc2)=C(P(n2cccc2)n2cccc2)O1.FC(F)(F)[Fe]C(F)(F)F,32.5
32-2-feii-cf3.log,C[P]1(C)O[C@@H]2CCCC23CCC[C@H]3O[P](C)(C)[Fe@SP3]1(C(F)(F)F)C(F)(F)F,32.4
33-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(c2ccccc2)c2cccc3c2C2(CC3)CCc3cccc(P(c4ccccc4)c4ccccc4)c32)cc1,32.4
20-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P([C@@H]2COCC[C@@H]2P(n2cccc2)n2cccc2)n2cccc2)c1,32.2
3-3-feii-cf3.log,CC(C)(C)P(CCP(C(C)(C)C)C(C)(C)C)C(C)(C)C.FC(F)(F)[Fe]C(F)(F)F,32.2
45-2-feii-cf3.log,CP(C)O[C@@H]1CCC2=CC=C(c3ccccc3)N([Fe@SP2](C(F)(F)F)C(F)(F)F)[C]21,31.9
45-4-feii-cf3.log,FC(F)(F)[Fe@SP2](N1[C]2C(=CC=C1c1ccccc1)CC[C@H]2OP(C1CCCCC1)C1CCCCC1)C(F)(F)F,31.5
18-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(c2ccccc2)[C@@H]2CCC[C@H](P(c3ccccc3)c3ccccc3)C2)cc1,31.2
9-3-feii-cf3.log,CC(C)(C)P(c1cscc1P(C(C)(C)C)C(C)(C)C)C(C)(C)C.FC(F)(F)[Fe]C(F)(F)F,31
11-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.O=C1C(P(n2cccc2)n2cccc2)=C(P(n2cccc2)n2cccc2)C(=O)N1c1ccccc1,30.7
32-1-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(O[C@@H]2CCCC23CCC[C@H]3OP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,30.6
5-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P(CCCP(n2cccc2)n2cccc2)n2cccc2)c1,30.5
4-5-feii-cf3.log,C[C@H]1[C@H](C)[P](n2cccc2)(n2cccc2)[Fe@SP2](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,30.3
49-4-feii-cf3.log,COC1=COC2=C3OC=C(OC)N3[Fe@SP2](C(F)(F)F)(C(F)(F)F)N12,30.3
13-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P([C@H]2CNC[C@@H]2P(n2cccc2)n2cccc2)n2cccc2)c1,30
43-2-feii-cf3.log,C[P]1(C)c2c(sc3ccccc23)[C]2OCCN2[Fe@SP3]1(C(F)(F)F)C(F)(F)F,29.6
35-1-feii-cf3.log,FC(F)(F)[Fe](C(F)(F)F)[P](c1ccccc1)(c1ccccc1)c1cccc2c1[C@H]1CC[C@@H]2c2cccc(P(c3ccccc3)c3ccccc3)c21,29.3
45-1-feii-cf3.log,FC(F)(F)[Fe@SP2](N1[C]2C(=CC=C1c1ccccc1)CC[C@H]2OP(c1ccccc1)c1ccccc1)C(F)(F)F,29.1
14-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P(C[C@H]2C[C@@H](P(n3cccc3)n3cccc3)CN2)n2cccc2)c1,29
21-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccc(P(n2cccc2)n2cccc2)c(Oc2ccccc2P(n2cccc2)n2cccc2)c1,28.8
63-3-feii-cf3.log,CC(C)(C)N1C=CN2[C]1[Fe@SP1](C(F)(F)F)(C(F)(F)F)=C1N(C=CN1C(C)(C)C)c1ccc3ccccc3c1-c1c2ccc2ccccc12,28.8
8-3-feii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C2=CCC=C2[P](C(C)(C)C)(C(C)(C)C)[Fe]1(C(F)(F)F)C(F)(F)F,28.2
45-5-feii-cf3.log,FC(F)(F)[Fe@SP2](N1[C]2C(=CC=C1c1ccccc1)CC[C@H]2OP(n1cccc1)n1cccc1)C(F)(F)F,28.1
61-3-feii-cf3.log,CC(C)(C)N1C=CN2Cc3ccccc3CN3C=CN(C(C)(C)C)[C]3[Fe@TB13](C(F)(F)F)(C(F)(F)F)[C]21,27.7
18-4-feii-cf3.log,FC(F)(F)[Fe@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCC[C@@H](C2)[P]1(C1CCCCC1)C1CCCCC1,27.5
6-5-feii-cf3.log,C[C@H]1C[C@H](C)[P](n2cccc2)(n2cccc2)[Fe@SP1](C(F)(F)F)(C(F)(F)F)[P]1(n1cccc1)n1cccc1,26.8
7-1-feii-cf3.log,CN1CC(C)(C)O[P](c2ccccc2)(c2ccccc2)[Fe@SP2](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,26.8
39-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P(c2cc3ccc2CCc2ccc(c(P(n4cccc4)n4cccc4)c2)CC3)n2cccc2)c1,26.7
34-5-feii-cf3.log,C1=C[C@H]2C[C@@H]1[C@@H](P(n1cccc1)n1cccc1)[C@H]2P(n1cccc1)n1cccc1.FC(F)(F)[Fe]C(F)(F)F,26.4
31-5-feii-cf3.log,FC(F)(F)[Fe]C(F)(F)F.c1ccn(P([C@@H]2CCCC23CCC[C@H]3P(n2cccc2)n2cccc2)n2cccc2)c1,26.1
7-4-feii-cf3.log,CN1CC(C)(C)O[P](C2CCCCC2)(C2CCCCC2)[Fe@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,24.5
45-3-feii-cf3.log,CC(C)(C)P(O[C@@H]1CCC2=CC=C(c3ccccc3)N([Fe@SP2](C(F)(F)F)C(F)(F)F)[C]21)C(C)(C)C,24.1
17-1-feii-cf3.log,FC(F)(F)[Fe@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)Cc2ccccc2C[P]1(c1ccccc1)c1ccccc1,23.8
32-4-feii-cf3.log,FC(F)(F)[Fe@SP3]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)O[C@@H]2CCCC23CCC[C@H]3O[P]1(C1CCCCC1)C1CCCCC1,22.6
