,SMILES,BDE
6-2-ptii-cf3.log,C[C@H]1C[C@H](C)[P](C)(C)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,76.8
15-2-ptii-cf3.log,C[P]1(C)c2ccccc2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.7
8-2-ptii-cf3.log,C[P]1(C)C2=CCC=C2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.5
9-2-ptii-cf3.log,C[P]1(C)c2cscc2[P](C)(C)[Pt@SP3]1(C(F)(F)F)C(F)(F)F,76.4
34-2-ptii-cf3.log,C[P]1(C)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.3
1-2-ptii-cf3.log,C[P]1(C)C[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.2
2-2-ptii-cf3.log,CC1(C)[P](C)(C)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C)C,76.2
50-2-ptii-cf3.log,CC1(C)[C]2OC=C(C(F)(F)F)N2[Pt@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2C(F)(F)F,76.2
16-2-ptii-cf3.log,C[P]1(C)c2cccnc2[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,76.1
44-4-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,76
63-5-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(Cc3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(Cc3ccccc3)[C]21,75.9
17-2-ptii-cf3.log,C[P]1(C)Cc2ccccc2C[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,75.8
2-4-ptii-cf3.log,CC1(C)[P](C2CCCCC2)(C2CCCCC2)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,75.7
43-2-ptii-cf3.log,C[P]1(C)c2c(sc3ccccc23)[C]2OCCN2[Pt@SP3]1(C(F)(F)F)C(F)(F)F,75.6
63-4-ptii-cf3.log,FC(F)(F)[Pt@SP3]1(C(F)(F)F)=C2N(c3ccccc3)C=CN2c2ccc3ccccc3c2-c2c(ccc3ccccc23)N2C=CN(c3ccccc3)[C]21,75.6
2-1-ptii-cf3.log,CC1(C)[P](c2ccccc2)(c2ccccc2)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,75.1
9-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cscc2[P]1(C1CCCCC1)C1CCCCC1,75.1
1-3-ptii-cf3.log,CC(C)(C)[P]1(C(C)(C)C)C[P](C(C)(C)C)(C(C)(C)C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,75
19-2-ptii-cf3.log,C[P]1(C)C[C@H]2CCCC[C@@H]2C[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,75
5-1-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CCC[P]1(c1ccccc1)c1ccccc1,74.9
6-1-ptii-cf3.log,C[C@H]1C[C@H](C)[P](c2ccccc2)(c2ccccc2)[Pt@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,74.7
63-2-ptii-cf3.log,CCN1C=CN2[C]1[Pt@SP1](C(F)(F)F)(C(F)(F)F)=C1N(CC)C=CN1c1ccc3ccccc3c1-c1c2ccc2ccccc12,74.6
12-1-ptii-cf3.log,CC1(C)OC2=C(O1)[P](c1ccccc1)(c1ccccc1)[Pt@SP2](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,74.5
42-1-ptii-cf3.log,FC(F)(F)[Pt@SP1]1(<-Nc2cccc3c2[C@@]2(CCc4cccc(C[P]1(c1ccccc1)c1ccccc1)c42)CC3)C(F)(F)F,74.5
4-1-ptii-cf3.log,C[C@H]1[C@H](C)[P](c2ccccc2)(c2ccccc2)[Pt@SP2](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,74.4
10-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2c[nH]cc2[P]1(C1CCCCC1)C1CCCCC1,74.2
29-2-ptii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C)(C)[Pt@SP3]1(C(F)(F)F)C(F)(F)F)CCCC3,74.1
